Id,K-Shell
1.57560621635236E+018,7
1.63057443380185E+018,16
1.75707228934496E+018,23
1.02169018102236E+018,5
1.39566712780635E+018,20
1.48711768600187E+018,5
1.02182778172498E+018,1
1.02188569773158E+018,1
1021948860,10
142772512,19
38154763,23
9.94707367966192E+017,24
1.02216251415756E+018,1
1022402725,1
1.02259950174226E+018,1
1.74751713803261E+018,2
1.02263406763912E+018,3
1022646691,3
1.81885369719292E+018,22
236344310,2
1.02291691725284E+018,4
1.56308164391653E+018,11
1.58235105510235E+018,4
1.02338647402298E+018,6
1.24429751941852E+018,27
1023668516,1
3424728015,17
1.02367764709472E+018,1
1.02388788032903E+018,1
839914434,4
1.02417698250902E+018,3
9.28712499804828E+017,23
1.02430814930881E+018,1
1.02436682750851E+018,3
1.25248507410201E+018,3
1.32157961483001E+018,3
8.10859229267378E+017,4
1.0247504348404E+018,1
1.02496675345621E+018,1
1.80526162741314E+018,3
1.02501777216895E+018,2
1.02507814104227E+018,1
1.17887822003433E+018,1
1.02512848165763E+018,1
1.4017671455252E+018,1
1.02556320634817E+018,1
1026049927,2
8.01138938463289E+017,1
1.02615913169313E+018,13
1.08918417915632E+018,24
1.43415275775003E+018,13
1.58164466298863E+018,24
102628272,1
1.16305459022221E+018,1
1.59154714213663E+018,3
1.02654438326327E+018,3
1.71124781262351E+018,1
1.02764024949163E+018,2
1.78408832105418E+018,4
1.02764753637754E+018,1
1.62327908949791E+018,2
1028112145,11
1.5350123366705E+018,15
1596294391,5
1.6089860798682E+018,3
1.69842813076624E+018,1
1.71520403457803E+018,24
1.78185093677784E+018,12
1.02905427110964E+018,8
1.58815572182013E+018,24
1.63832054478841E+018,24
1.02933276875547E+018,3
1.03048272685871E+018,23
1.06679106188285E+018,14
1.21631983443631E+018,18
1.35194338185387E+018,9
1.41322422303263E+018,10
1.44798344164393E+018,8
1472021738,6
1.4727585069022E+018,22
1.48713210959662E+018,4
1.61749229895014E+018,13
1.63821841677434E+018,24
1.64099052616912E+018,22
1.72009794708464E+018,12
1.73213716255069E+018,10
2719190783,3
2894661244,22
3392733814,24
8.59052578969182E+017,4
8.6047721270068E+017,24
9.77640935583617E+017,2
1.03084023952544E+018,1
1.03109218049083E+018,1
1.64900341529967E+018,1
1.03124774892488E+018,2
1.28500413637163E+018,3
1.5867390371964E+018,2
1.031258169799E+018,1
1.42036454525679E+018,1
1.03153396091083E+018,1
1.03160200797772E+018,3
1.17188455483706E+018,3
1.26390464578269E+018,1
1.03206891059242E+018,2
1.21865162791931E+018,2
9.29416923875627E+017,1
1.03232782585088E+018,2
1.32012864782361E+018,2
1.32260688684848E+018,3
1.50144745605105E+018,4
1.03286037524961E+018,1
1.57693474597569E+018,1
1.03303170135679E+018,1
1.03309705409926E+018,1
1.03346385041731E+018,12
1.64715793009594E+018,4
1.6588824216961E+018,23
2383455180,21
8.88120721783742E+017,12
1.03416836613779E+018,2
1.03416852360874E+018,4
1.03448467707001E+018,1
9.47894448448565E+017,1
1.03485692037139E+018,2
1.10064391071043E+018,3
1.19390684262954E+018,3
806286061,2
1.03521539861294E+018,2
1.03525144796797E+018,2
1462854630,1
1.6823260658034E+018,1
1.74729956851598E+018,2
1.03623720582247E+018,1
1.03661085376692E+018,8
1.26180796088532E+018,24
1.78904121027695E+018,6
1.79579836297056E+018,1
7.10745766827061E+017,20
1.03668322715333E+018,5
1.24711196427653E+018,23
1.74730345406049E+018,24
1.03759862099495E+018,1
528490048,3
1.03822431124769E+018,4
1.03829718443589E+018,1
1.03832878290443E+018,2
1.51288738018486E+018,7
1.03875471522233E+018,4
327898244,24
1.03880600391408E+018,1
1.28162440005222E+018,1
1.03908500872676E+018,1
1.73075898262349E+018,3
1.0395613605296E+018,11
1.43021279856756E+018,29
8.45670210581549E+017,13
1040407034,1
1.0406472945327E+018,5
1.06718504005924E+018,22
1.45886906550687E+018,24
1.64763906645074E+018,5
1.7109692212014E+018,18
2581408111,23
1.04068607174978E+018,24
1.07741881418112E+018,9
1.20236083629294E+018,15
1.63122000165378E+018,24
1.63866583324004E+018,24
4795342575,5
1.04084754331014E+018,1
8.23051630048346E+017,1
1.04096888314499E+018,12
1.46857823965631E+018,10
1.74012230076935E+018,5
3427869400,4
1040972088,1
1.57443155061522E+018,2
1.04105861001556E+018,1
1.04117730179749E+018,1
1.52791059269418E+018,6
1.04186868711921E+018,2
1.04198503496467E+018,2
1.0421225456196E+018,4
1.04300333209514E+018,1
1.34133439053052E+018,1
1.04338842514617E+018,24
1.06344922101629E+018,5
1.11312655813749E+018,4
1.11972551275302E+018,11
1.25442830775763E+018,23
1.30261624676094E+018,16
1.32149585218836E+018,6
1.45298835234561E+018,17
1.51173872505045E+018,3
1.56980467080535E+018,11
1.57685600441068E+018,23
1.57808646543468E+018,8
1.58352852702609E+018,22
1.65459276836108E+018,22
1.69156400280177E+018,24
1.73686969128336E+018,3
1.76966726319437E+018,13
1.78388371214642E+018,24
2269814823,24
2337915084,4
2620317035,24
2960042892,20
8.72564627099595E+017,20
9.60279607286133E+017,21
1.04344039479987E+018,14
1.09208576255884E+018,14
1.28433065593808E+018,20
1.57265111288423E+018,2
2276545290,21
1.0435909462466E+018,1
2196361672,1
1.04400004461201E+018,1
1.57837023155426E+018,24
1044104839,1
1.04423378319991E+018,3
1.21706415740262E+018,6
1.33428960758903E+018,2
1.39646255867306E+018,3
1.51543331496594E+018,4
1.04433916646784E+018,1
1.04457707582546E+018,1
1044589873,1
1.82068005381181E+018,1
1.04464115807962E+018,1
1.04487473581174E+018,4
1.61678705995982E+018,9
1.04518305032011E+018,1
1.04559582074415E+018,1
1.04570125019561E+018,3
9.90494278349619E+017,20
1.04590643651618E+018,1
1.0460179841149E+018,2
1.04678090272492E+018,1
1.04719367360634E+018,1
1.04730984154951E+018,24
1.01127558291774E+018,1
1.05797271144672E+018,3
1.0611954770882E+018,7
1.27078942175603E+018,14
1.28654363741799E+018,23
1.2871016161985E+018,20
1.32443358505988E+018,20
1.3907430224224E+018,24
1.45036704340922E+018,2
1.50076496926835E+018,16
1.51787350068978E+018,20
1.51873091530805E+018,7
1.54611423932405E+018,20
1.56595716797439E+018,2
1.59258328502412E+018,21
1.59799136634428E+018,1
1.59832687151444E+018,20
1.61108762351831E+018,14
1.61408102242502E+018,22
1.61409863570411E+018,17
1.62075417975607E+018,10
1.65419710950197E+018,11
1.67063700706705E+018,3
1.68935459588404E+018,6
1.69488771931742E+018,24
1.71497341025244E+018,4
1.77364211147414E+018,8
1.78309457862457E+018,3
1.78656148924948E+018,22
1.79769156872113E+018,3
1.80743158704027E+018,4
2172599869,23
4925396357,7
8.62372323562848E+017,1
9.92079199447011E+017,24
1.0477580497112E+018,1
1.07931222818317E+018,1
1.04798084870278E+018,1
1.04823766958993E+018,2
1.04863628209474E+018,1
1.78837040067978E+018,1
1.04976129939412E+018,1
1.5734430766554E+018,2
1.04994271683299E+018,3
1.05896096210608E+018,1
315054456,3
1.05079402114714E+018,23
1.39355537320687E+018,16
153729169,3
1.57601910732928E+018,22
1.79560498598972E+018,24
1.79788563319063E+018,23
1.82961213177738E+018,13
9.97341274431742E+017,4
1.05104275104167E+018,1
1.05111478754184E+018,3
1.05142781743356E+018,1
595866533,1
1.05153282880915E+018,2
1.45166593980042E+018,11
1.51985525361684E+018,6
1.05204327943971E+018,6
1.67321619054058E+018,6
1.75002266506117E+018,2
1.05260461591559E+018,20
1.45819527897305E+018,23
1.57976599410454E+018,22
1.60767452064251E+018,19
1.79882630934449E+018,2
8.33370121259332E+017,7
1.05263226655008E+018,1
1.05325825507661E+018,1
1.72555203944951E+018,4
1.05340659823473E+018,1
1.76040971355919E+018,4
1.05436963144256E+018,3
1.12712812644052E+018,2
1.70225903693714E+018,3
1.05530819031588E+018,1
4847086839,17
1057130952,1
1057324664,1
1.05794458362621E+018,1
1.05795763980669E+018,1
1.15044308005676E+018,3
1.05850764267767E+018,13
1.08633114357251E+018,29
1.3746639979921E+018,29
1.5489480097733E+018,25
1.6806112955303E+018,13
48013824,14
8.57626205914378E+017,13
1.0586243428656E+018,5
1.05905633869999E+018,1
1.64329336511754E+018,2
1.05915294230398E+018,12
1.0601743663554E+018,1
1.385504758514E+018,1
1.06044158651189E+018,1
1.48305431219241E+018,1
1.0611682125141E+018,1
338949202,12
1.06132311353799E+018,1
1.06148057943738E+018,2
1.0618323789502E+018,18
1732893110,23
2280226788,18
70458212,12
8.37054731411403E+017,13
8.41396621698986E+017,21
8.47723061583372E+017,6
9.99237542947025E+017,3
1.06203038516752E+018,23
108059466,6
1.1865904206268E+018,23
1.30451554649557E+018,3
1.38607632328681E+018,3
1.57326334950416E+018,18
1.59615481308276E+018,22
1.60164005540315E+018,23
1.63556602029841E+018,10
1.70327916515422E+018,21
1.73648252410733E+018,4
1.74007808854369E+018,18
1.75920097590086E+018,20
2437823213,3
51434437,15
7.03814694667198E+017,23
8.09557260145807E+017,18
9.46961836003402E+017,24
9.47626817493586E+017,15
1.06319458673305E+018,1
1.26454979304668E+018,2
1064080291,1
2739506010,1
1.0640905271115E+018,1
1.06426689355138E+018,1
1.0649868239555E+018,6
1.28876310127854E+018,27
7.89739234580173E+017,13
8.62626661778432E+017,22
1.06567838868855E+018,1
1.57855303865823E+018,12
17783532,19
1.06637022330405E+018,1
1.06645275774861E+018,1
1.06675101667738E+018,20
1.04004112948655E+018,9
1.29456904522476E+018,21
1.60348030210134E+018,5
1.68104414572757E+018,20
1.74393218139782E+018,9
620393146,11
7.09152732230378E+017,23
1.06716417499485E+018,2
1.33191248284847E+018,1
7.30537043940364E+017,1
1069158224,1
1.0692979328795E+018,1
1.49002754585678E+018,1
1070230291,2
7.8329590070159E+017,13
1.07030437886576E+018,17
1.08961087418314E+018,4
1.41987526509482E+018,7
1.69539463555048E+018,17
8.53143375289225E+017,8
8.54722538198454E+017,2
8.63138642620891E+017,15
1.0703616695939E+018,1
1.07041697790524E+018,1
1.61471069027867E+018,6
1070668681,4
1.77125565770802E+018,1
1070879119,1
1.07104873994148E+018,1
1.11613121044145E+018,3
1.07114430183551E+018,2
1.07135698648949E+018,9
1.6395873376835E+018,16
7.97159363811148E+017,23
1.07217385334085E+018,1
1.07222306676216E+018,4
1.21529987637383E+018,8
1.502223754231E+018,4
188850199,5
9.26559621321576E+017,5
1.07295305520796E+018,12
9.69101183716594E+017,20
1.07328069390665E+018,6
1.59189723763807E+018,13
1.07344129298051E+018,1
1.71385466131943E+018,20
1.07355035730383E+018,2
1.70925103897534E+018,7
1.0740163517092E+018,1
9.48242218682323E+017,4
1.07405480767618E+018,1
1.77083663487702E+018,1
1.07448004420925E+018,5
1.33262126456177E+018,6
1.0746654344426E+018,7
1.54836285486823E+018,2
1.57292488378851E+018,9
18055418,3
1955124895,16
224081500,4
2254982313,3
2280161403,7
2313967902,5
7.14077350904914E+017,3
738333428,3
8.03540676663251E+017,2
9.47012132457005E+017,2
1.07481638613068E+018,1
1.07508787265348E+018,1
1.07545575333347E+018,5
1.57297332333151E+018,6
1.83389268405173E+018,13
1.07548261754015E+018,2
1.49636118572118E+018,3
423924903,2
1.57309004213803E+018,5
1.68977896221644E+018,2
1.07598374770984E+018,1
1.0762685182853E+018,1
1.07658065414871E+018,1
1.79725007649188E+018,1
1.07676985471844E+018,1
1.07693601907585E+018,2
8.97117733963391E+017,8
1.07721041546394E+018,1
1.0776492710323E+018,7
1.83591086114101E+018,5
8.9645891347805E+017,27
1.07816646102849E+018,4
